feature,importance_mean,importance_std,val_imp_0,val_imp_1,val_imp_2,val_imp_3,val_imp_4
ciudad_Saint cloud,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Tamarac,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Rockledge,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Bryceville,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Suwannee,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Ft Walton Bch,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Port St Lucie,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Homosassaa,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Astatula,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Elkton,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Jennings,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Perdido Key,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Upper Matecumbe Key,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Weeki wachee,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Starke,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Cove Springs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Satellite Beach,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Altamonte Springs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
extracted_dimension_Cooperative,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Groveland,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Blountstown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Hialeah Gardens,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Southport,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Petersburg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Winter Springs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Titusville,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Greenacres,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Port Richey,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_West Melbourne,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Belle Glade,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_lehigh acres,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Port saint joe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Harmony,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zona_horaria_America/Chicago,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_St. George Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Useppa Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Green Cove Springs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Polk city,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Belleair Beach,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Pahokee,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_St. Petersburg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
